iter	Passed	Remaining
609	1555610	155610	15582	9920
611	1560612	156612	1563613	156613	1565614	156614	1568615	157615	1570616	157616	1573617	157617	1575618	158618	15792	9720
619	15813	9692
620	15842	9668
621	15864	9641
622	15901	9622
623	15922	9594
624	15945	9567
625	15972	9542
626	15999	9517
627	16020	9489
628	16044	9463
629	16072	9439
630	16091	9410
631	16122	9387
632	16136	9355
633	16162	9330
634	16192	9307
635	16221	9284
636	16239	9254
637	16263	9227
638	16284	9200
639	16317	9178
640	16345	9154
641	16373	9130
642	16393	9102
643	16415	9074
644	16453	9056
645	16479	9030
646	16496	9000
647	16513	8970
648	16557	8955
649	16577	8926
650	16594	8896
651	16618	8870
652	16628	8836
653	16656	8811
654	16687	8789
655	16706	8760
656	16727	8732
657	16766	8714
658	16789	8687
659	16811	8660
660	16839	8636
661	16863	8610
662	16894	8587
663	16916	8560
664	16935	8531
665	16960	8505
666	16988	8481
667	17011	8454
668	17034	8427
669	17058	8401
670	17081	8375
671	17099	8346
672	17140	8328
673	17171	8305
674	17198	8280
675	17224	8255
676	17246	8228
677	17279	8206
678	17294	8176
679	17324	8152
680	17357	8130
681	17391	8109
682	17409	8080
683	17425	8050
684	17447	8023
685	17463	7993
686	17481	7964
687	17495	7933
688	17527	7911
689	17545	7882
690	17574	7858
691	17597	7832
692	17623	7807
693	17642	7778
694	17660	7750
695	17692	7727
696	17718	7702
697	17737	7674
698	17759	7647
699	17784	7622
700	17797	7591
701	17822	7565
702	1784703	178703	1786704	179704	1789705	179705	1790706	179706	1793707	179707	1795708	180708	1798709	180709	18011	7356
710	1803711	180711	1805712	181712	1808713	181713	1810714	181714	1813715	181715	1815716	182716	1818717	182717	1819718	18267	7139
719	182719	1824720	183720	1827721	183721	1830722	183722	1832723	183723	1835724	184724	1837725	184725	1840726	184726	1843727	184727	1845728	185728	1848729	185729	18516	6848
730	18543	6823
731	18567	6798
732	18590	6771
733	18611	6744
