,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
84,Flamengo,-22.934710781954674,-43.17418204972766,Mitsuo Japinha,-22.93612416101891,-43.17721371080282,Japanese Restaurant
85,Flamengo,-22.934710781954674,-43.17418204972766,Mestre-Cervejeiro.com,-22.933313271352624,-43.17685624875904,Beer Bar
86,Flamengo,-22.934710781954674,-43.17418204972766,Circuito da Praia,-22.932964645263052,-43.172016189460805,Gym
87,Flamengo,-22.934710781954674,-43.17418204972766,Rede Ultra Mercado,-22.93638059105372,-43.17550305953272,Supermarket
88,Flamengo,-22.934710781954674,-43.17418204972766,Bonomia Lanches,-22.93457102477686,-43.17731874171531,Fast Food Restaurant
89,Flamengo,-22.934710781954674,-43.17418204972766,Samurai San,-22.93313428652235,-43.17547421083994,Japanese Restaurant
90,Flamengo,-22.934710781954674,-43.17418204972766,Academia Upper Sport Clube,-22.93669525946055,-43.177530085598356,Gym / Fitness Center
91,Flamengo,-22.934710781954674,-43.17418204972766,Academia do Flamengo,-22.93313001589808,-43.17546569622643,Gym / Fitness Center
92,Flamengo,-22.934710781954674,-43.17418204972766,Café Lamas,-22.933885982171976,-43.177353971682514,Brazilian Restaurant
93,Flamengo,-22.934710781954674,-43.17418204972766,Bar do Elias,-22.932369510377118,-43.177547143041984,Bar
94,Flamengo,-22.934710781954674,-43.17418204972766,Tambores de Olokun,-22.934289295683264,-43.172490755295826,Public Art
95,Flamengo,-22.934710781954674,-43.17418204972766,La Calaca Cocina Mexicana,-22.9362126665115,-43.177297526589264,Mexican Restaurant
96,Flamengo,-22.934710781954674,-43.17418204972766,Hortifruti,-22.931221078744016,-43.1767825892749,Fruit & Vegetable Store
97,Flamengo,-22.934710781954674,-43.17418204972766,Deck do Aterro,-22.93579269817163,-43.16997709881241,Scenic Lookout
98,Flamengo,-22.934710781954674,-43.17418204972766,aterro do flamengo,-22.93483902830566,-43.178245746984516,Athletics & Sports
99,Flamengo,-22.934710781954674,-43.17418204972766,Teatro Municipal de Marionetes Carlos Werneck,-22.9351245938304,-43.172697301494445,Indie Theater
100,Flamengo,-22.934710781954674,-43.17418204972766,Mundo das Pizzas,-22.933177385175064,-43.17529728616977,Pizza Place
101,Flamengo,-22.934710781954674,-43.17418204972766,Intihuasi,-22.933113619818048,-43.17570927487882,Peruvian Restaurant
102,Flamengo,-22.934710781954674,-43.17418204972766,Casa Vitana,-22.934831054368544,-43.177126016883115,Japanese Restaurant
103,Flamengo,-22.934710781954674,-43.17418204972766,Praça Cuauhtemoque,-22.93760633217322,-43.17332983016968,Plaza
104,Flamengo,-22.934710781954674,-43.17418204972766,"Spé, O Spa do Pé",-22.93218577422963,-43.17769896230462,Spa
105,Flamengo,-22.934710781954674,-43.17418204972766,Smart Fit,-22.93595082226162,-43.17498150819016,Gym / Fitness Center
106,Moneró,-22.796429204215777,-43.197598613896204,Beer16 Petiscaria,-22.799459506214898,-43.1972398986692,Bar
107,Moneró,-22.796429204215777,-43.197598613896204,Angra dos Reis,-22.797681962529257,-43.193199502285836,Beach
108,Moneró,-22.796429204215777,-43.197598613896204,Team Moraes,-22.800234379167428,-43.19967309710062,Martial Arts School
109,Moneró,-22.796429204215777,-43.197598613896204,Quiosque Gruta da Ilha,-22.799838934741985,-43.19634361177024,Food Truck
110,Moneró,-22.796429204215777,-43.197598613896204,Corredor Esportivo,-22.793867694650462,-43.20017337799072,Park
111,Moneró,-22.796429204215777,-43.197598613896204,Point do Village,-22.79738962088832,-43.200995971174805,Dive Bar
112,Moneró,-22.796429204215777,-43.197598613896204,Praça Papai Noel,-22.797763154438528,-43.197982514057806,Park
113,Moneró,-22.796429204215777,-43.197598613896204,Padaria e Mercearia Princesinha do Moneró,-22.795966997769618,-43.19836999437237,Bakery
114,Moneró,-22.796429204215777,-43.197598613896204,Crepe & Cevada,-22.794339914261833,-43.20154086378298,Creperie
115,Moneró,-22.796429204215777,-43.197598613896204,Posto Buggy (Shell),-22.80005199548181,-43.20026911730428,Gas Station
116,Moneró,-22.796429204215777,-43.197598613896204,Salsa & Merengue,-22.797184354468854,-43.19353633418052,Buffet
117,Moneró,-22.796429204215777,-43.197598613896204,Academia Musculo e Ação,-22.79771154045021,-43.19320993004857,Athletics & Sports
118,Campo Grande,-22.88245785448513,-43.55022952624804,Aquarela dos Sucos,-22.8831328145697,-43.547187561721984,Juice Bar
119,Campo Grande,-22.88245785448513,-43.55022952624804,supermercados campeão,-22.88439324421023,-43.5489902302069,Supermarket
120,Campo Grande,-22.88245785448513,-43.55022952624804,body move,-22.883153187108476,-43.547415030994,Gym
121,Campo Grande,-22.88245785448513,-43.55022952624804,Barraca do Marcelo,-22.885018,-43.551722,Burger Joint
122,Campo Grande,-22.88245785448513,-43.55022952624804,Carolzinha Lanchonete,-22.885378,-43.549408,Fast Food Restaurant
123,Campo Grande,-22.88245785448513,-43.55022952624804,Barba Nossa,-22.885502,-43.54963,Health & Beauty Service
124,Campo Grande,-22.88245785448513,-43.55022952624804,Mercado Dular,-22.88328887975965,-43.546698314212186,Grocery Store
125,Campo Grande,-22.88245785448513,-43.55022952624804,Box 23,-22.878868511078824,-43.55000475687715,Auto Garage
126,Campo Grande,-22.88245785448513,-43.55022952624804,Paleteca,-22.878792130912004,-43.55011690123071,Ice Cream Shop
127,Campo Grande,-22.88245785448513,-43.55022952624804,Praça da Vila Yolanda,-22.881331837461172,-43.554850837792216,Plaza
128,Jardim América,-22.810257091771476,-43.32335379187596,Primo Lanches,-22.812046779652157,-43.32528125805382,Snack Place
129,Jardim América,-22.810257091771476,-43.32335379187596,Real Pizza,-22.81155248112418,-43.32522185984922,Pizza Place
130,Jardim América,-22.810257091771476,-43.32335379187596,Sorveteria Curva do S,-22.809362905053536,-43.32754916289588,Ice Cream Shop
131,Jardim América,-22.810257091771476,-43.32335379187596,América Grill,-22.813566324268315,-43.32573809291743,Restaurant
132,Jardim América,-22.810257091771476,-43.32335379187596,Bar Do Sid,-22.807331128700515,-43.32236068179007,Steakhouse
133,Jardim América,-22.810257091771476,-43.32335379187596,Subway,-22.808228095355773,-43.32152712650434,Sandwich Place
134,Jardim América,-22.810257091771476,-43.32335379187596,Supermercado Campeão,-22.811241864027675,-43.32085309218339,Grocery Store
135,Jardim América,-22.810257091771476,-43.32335379187596,Academia Las Vegas,-22.808301953198402,-43.3200621067964,Gym
136,Jardim América,-22.810257091771476,-43.32335379187596,Raro's Burgues,-22.810713,-43.32558,Burger Joint
137,Jardim América,-22.810257091771476,-43.32335379187596,Acelétrica,-22.810947329111507,-43.320969343185425,Electronics Store
138,Jardim América,-22.810257091771476,-43.32335379187596,Boca Nervosa Lanches,-22.80828792386454,-43.32152712650434,Burger Joint
139,Jardim América,-22.810257091771476,-43.32335379187596,Padaria da Rua Sete,-22.810623747534336,-43.32768119628628,Bakery
140,Vigário Geral,-22.80902209344595,-43.31021646795761,Pega Leve Pizza,-22.81227989545303,-43.30986768542194,Pizza Place
141,Vigário Geral,-22.80902209344595,-43.31021646795761,DIFIN - Duloren S/A,-22.808709635099145,-43.306350110168744,Cave
142,Vigário Geral,-22.80902209344595,-43.31021646795761,Acadêmicos de Vigário Geral,-22.80693,-43.30679,Samba School
143,Vigário Geral,-22.80902209344595,-43.31021646795761,Praça Catolé do Rocha,-22.80625207913702,-43.30687220412055,Park
144,Cocotá,-22.804117406743952,-43.180412521198086,ProQuality Fitness Center,-22.805091490977702,-43.182050215905335,Gym / Fitness Center
145,Cocotá,-22.804117406743952,-43.180412521198086,Subway,-22.806101836190283,-43.18218647879166,Sandwich Place
146,Cocotá,-22.804117406743952,-43.180412521198086,Esporte Clube Cocotá,-22.807032085239197,-43.18322215551866,Gym Pool
147,Cocotá,-22.804117406743952,-43.180412521198086,Centro Comercial Mancini,-22.805014228871123,-43.18240104077758,Shopping Plaza
148,Cocotá,-22.804117406743952,-43.180412521198086,Parque Poeta Manuel Bandeira (Aterro do Cocotá),-22.804289387469872,-43.18164262175425,Park
149,Cocotá,-22.804117406743952,-43.180412521198086,Academia Companhia do Corpo,-22.807301509124304,-43.18380208852312,Gym / Fitness Center
150,Cocotá,-22.804117406743952,-43.180412521198086,Quadras De Tênis Cocotá,-22.805494070139712,-43.18207297867744,Tennis Court
151,Cocotá,-22.804117406743952,-43.180412521198086,Regional,-22.805606,-43.18211,Department Store
152,Cocotá,-22.804117406743952,-43.180412521198086,Ilha Lanches,-22.80744641305156,-43.179214553529285,Fast Food Restaurant
153,Cocotá,-22.804117406743952,-43.180412521198086,Ilha Paintball,-22.80078105511996,-43.178951625309395,Paintball Field
