,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
213,Jardim Guanabara,-22.8128687571129,-43.20205745949093,Quiosque do Grego,-22.817278986691967,-43.2029343245864,Burger Joint
214,Jardim Guanabara,-22.8128687571129,-43.20205745949093,Sushiro Culinária Japonesa,-22.8134421554253,-43.20677472879365,Japanese Restaurant
215,Jardim Guanabara,-22.8128687571129,-43.20205745949093,Super Sanduicheria (Podrão),-22.81726664382898,-43.20294039774826,Burger Joint
217,Jardim Guanabara,-22.8128687571129,-43.20205745949093,Panificação Guanabara,-22.81301076731164,-43.20401102026628,Bakery
218,Jardim Guanabara,-22.8128687571129,-43.20205745949093,Sushi Mix Jardim Guanabara,-22.816467000000003,-43.204971,Japanese Restaurant
219,Parque Colúmbia,-22.81421287045919,-43.341984327380935,Simpatia Carioca,-22.81674159175468,-43.34319504820746,Restaurant
222,Parque Colúmbia,-22.81421287045919,-43.341984327380935,Mery Lanche Feliz,-22.81562519897089,-43.33947218094305,Burger Joint
223,Parque Colúmbia,-22.81421287045919,-43.341984327380935,Gastronomia Carioca,-22.812115591003913,-43.34011434902256,Brazilian Restaurant
225,Parque Colúmbia,-22.81421287045919,-43.341984327380935,Dom Carioca Restaurante,-22.812299673060185,-43.339694774674136,Restaurant
227,Parque Colúmbia,-22.81421287045919,-43.341984327380935,Restaurante Amarelinho,-22.812123871859136,-43.339583443602905,Brazilian Restaurant
228,Parque Colúmbia,-22.81421287045919,-43.341984327380935,Bar e Restaurante Ceará,-22.813265619285445,-43.33770999880785,Brazilian Restaurant
229,Parque Colúmbia,-22.81421287045919,-43.341984327380935,Ninja,-22.814263168132328,-43.33729040426281,Pizza Place
231,Praia da Bandeira,-22.810456150350376,-43.17960240608539,Tudão,-22.811132997827173,-43.18356264732506,Burger Joint
234,Praia da Bandeira,-22.810456150350376,-43.17960240608539,Ilha Lanches,-22.807446413051558,-43.17921455352929,Fast Food Restaurant
240,Pitangueiras,-22.816953653518404,-43.17999210024178,Mouras Bar,-22.81922211534931,-43.17783034081759,Bakery
243,Penha Circular,-22.83127285366351,-43.285813546343505,Bar da Antonia,-22.83005088333275,-43.2884849844331,Bar
252,Bangu,-22.85749831488381,-43.48508756308416,Habib's,-22.85445767440101,-43.48675787909976,Fast Food Restaurant
257,Bangu,-22.85749831488381,-43.48508756308416,Barbearia Dom Petrux,-22.854533,-43.487734,Salon / Barbershop
258,Bangu,-22.85749831488381,-43.48508756308416,padaria Jeferson,-22.8583,-43.4807,Bakery
267,Irajá,-22.8350855934604,-43.3259713277105,Padaria Rio 95,-22.83653826163568,-43.32539546233819,Bakery
270,Irajá,-22.8350855934604,-43.3259713277105,Du Dudu Kilo Grill,-22.83374343173105,-43.32764885310108,Restaurant
272,Irajá,-22.8350855934604,-43.3259713277105,Pizzaria Italia Carioca,-22.836745999999998,-43.325494,Pizza Place
273,Irajá,-22.8350855934604,-43.3259713277105,Habib's,-22.832668924379192,-43.32830222443869,Fast Food Restaurant
274,Irajá,-22.8350855934604,-43.3259713277105,Padaria e Confeitaria Riger,-22.837888987927613,-43.32441643081745,Bakery
279,Coelho Neto,-22.832110316247906,-43.350437524730985,Padaria,-22.830301336158534,-43.35137553882564,Bakery
290,Anchieta,-22.823903796233125,-43.39974736378031,Point da Família - Anchieta,-22.821380639008414,-43.39882937908549,Fast Food Restaurant
304,Acari,-22.822160821365145,-43.34100111074074,Pizzaria Tropical,-22.82483358811626,-43.34343781903974,Pizza Place
313,Guadalupe,-22.83886219126798,-43.375409854959294,Bocão Lanches,-22.839031241184987,-43.378820719890086,Burger Joint
316,Guadalupe,-22.83886219126798,-43.375409854959294,Luck's Bar,-22.83867440669889,-43.37901250982196,Bar
317,Guadalupe,-22.83886219126798,-43.375409854959294,Padaria Caprichos do Trigo,-22.835719749168376,-43.37556151125594,Bakery
318,Guadalupe,-22.83886219126798,-43.375409854959294,Crepearte,-22.8380456182231,-43.37330140618501,Pizza Place
319,Guadalupe,-22.83886219126798,-43.375409854959294,Erick Lanches,-22.84016977,-43.37786766,Fast Food Restaurant
322,Guadalupe,-22.83886219126798,-43.375409854959294,MDM Pizzaria e Bar,-22.84173267238448,-43.376872341070545,Pizza Place
324,Guadalupe,-22.83886219126798,-43.375409854959294,Japa Louco Culinária Oriental,-22.842273285786327,-43.37426870972404,Japanese Restaurant
327,Guadalupe,-22.83886219126798,-43.375409854959294,General Burger,-22.835302695867423,-43.37804532323575,Burger Joint
332,Brás de Pina,-22.83114198013419,-43.297288580502396,Estação do Pão de Brás de Pina,-22.82770118663296,-43.2953367471436,Bakery
336,Penha,-22.837928976234483,-43.276003362973356,Experimenta Lanches,-22.836089774105968,-43.275855087946475,Burger Joint
337,Penha,-22.837928976234483,-43.276003362973356,Domino's Pizza,-22.83959545249463,-43.2793108591379,Pizza Place
339,Penha,-22.837928976234483,-43.276003362973356,Music Beer,-22.83848010015438,-43.27823642536854,Southeastern Brazilian Restaurant
340,Penha,-22.837928976234483,-43.276003362973356,Sabor do Pão,-22.8397644759683,-43.27575016658972,Bakery
341,Penha,-22.837928976234483,-43.276003362973356,Espaço Mix,-22.83904679236113,-43.2798544142791,Bar
344,Penha,-22.837928976234483,-43.276003362973356,Império Gourmet,-22.83675806507494,-43.278320709022935,Restaurant
354,Zumbi,-22.821115765672374,-43.17601439632831,Biroska do Camarão,-22.823426550342027,-43.178457486009606,Bar
355,Zumbi,-22.821115765672374,-43.17601439632831,Padaria Spider,-22.821098585465432,-43.17700304606177,Bakery
357,Zumbi,-22.821115765672374,-43.17601439632831,Yaki-Koni - Culinária Oriental,-22.821550894283504,-43.176657780228176,Japanese Restaurant
358,Zumbi,-22.821115765672374,-43.17601439632831,Mouras Bar,-22.81922211534931,-43.17783034081759,Bakery
359,Zumbi,-22.821115765672374,-43.17601439632831,Crepes & Papos,-22.823685,-43.175255,Burger Joint
365,Ribeira,-22.82340875686182,-43.16920894177059,Pontapé Beach,-22.825212162667757,-43.168978361492655,Dive Bar
366,Ribeira,-22.82340875686182,-43.16920894177059,Planeta da Ribeira,-22.824732400500828,-43.16945170219724,Bar
368,Ribeira,-22.82340875686182,-43.16920894177059,Boteco do Carlito's,-22.824786217020193,-43.16939960384158,Dive Bar
370,Ribeira,-22.82340875686182,-43.16920894177059,Sushi Barcellos,-22.825035290815496,-43.17077582741982,Japanese Restaurant
373,Ribeira,-22.82340875686182,-43.16920894177059,Padaria da Ribeira,-22.82456059369877,-43.16943184544698,Bakery
374,Ribeira,-22.82340875686182,-43.16920894177059,Pizzarola,-22.825813345498613,-43.16963928753744,Pizza Place
375,Ribeira,-22.82340875686182,-43.16920894177059,Temakeria Top Koni,-22.82565188618652,-43.16901194467509,Japanese Restaurant
376,Ribeira,-22.82340875686182,-43.16920894177059,Zero Grau Chopperia,-22.825087692555165,-43.17097417284587,Bar
379,Ribeira,-22.82340875686182,-43.16920894177059,Alemão da Ribeira,-22.825721269608174,-43.169665707556184,German Restaurant
380,Ribeira,-22.82340875686182,-43.16920894177059,Hip Hang Rock & Bar,-22.823118,-43.17112,Beer Bar
381,Ribeira,-22.82340875686182,-43.16920894177059,Mercado Maravilha Da Ribeira,-22.82402130168743,-43.169468145886725,Bakery
390,Parque Anchieta,-22.836255172680826,-43.415245155275194,Brutu's lanches,-22.832669434914983,-43.413913550713566,Burger Joint
394,Vista Alegre,-22.83015341618745,-43.314998854692405,Bar do Adão,-22.831366948314127,-43.31887734453335,Bar
399,Vista Alegre,-22.83015341618745,-43.314998854692405,Sushi da Praça,-22.831626497070587,-43.31890256469853,Japanese Restaurant
403,Vista Alegre,-22.83015341618745,-43.314998854692405,Trio Bar,-22.82933394967513,-43.31935034594603,Bar
404,Vista Alegre,-22.83015341618745,-43.314998854692405,TK burguer house,-22.829026208099275,-43.319290310190304,Burger Joint
408,Vista Alegre,-22.83015341618745,-43.314998854692405,Panificação Rio 2004,-22.82643040584915,-43.31561284682642,Bakery
409,Vista Alegre,-22.83015341618745,-43.314998854692405,Brasil 500,-22.831045633970124,-43.31877864123874,Pizza Place
410,Vista Alegre,-22.83015341618745,-43.314998854692405,Los Cabrones,-22.83084622780312,-43.31900755435106,Mexican Restaurant
412,Vista Alegre,-22.83015341618745,-43.314998854692405,Hong Kong Yakisobas,-22.827697166562398,-43.3179569472536,Asian Restaurant
414,Vista Alegre,-22.83015341618745,-43.314998854692405,Panificadora São Félix,-22.83319705725023,-43.31838613683919,Bakery
417,Ricardo de Albuquerque,-22.837383692118987,-43.39706304589202,Frangolino conveniência e Restaurante,-22.836201069121426,-43.396376059170244,Restaurant
422,Ricardo de Albuquerque,-22.837383692118987,-43.39706304589202,Padaria Rosquinha de Ouro,-22.834959805250133,-43.39688933572359,Bakery
424,Ricardo de Albuquerque,-22.837383692118987,-43.39706304589202,Point da Familia sucos e lanches,-22.83672727677515,-43.393932036776974,Juice Bar
426,Ricardo de Albuquerque,-22.837383692118987,-43.39706304589202,Pop's Pizzaria,-22.835058,-43.399326,Pizza Place
431,Ricardo de Albuquerque,-22.837383692118987,-43.39706304589202,Empório Do Pão,-22.838407999999998,-43.40058,Bakery
434,Ricardo de Albuquerque,-22.837383692118987,-43.39706304589202,Padaria Mimosa - Anchieta,-22.834251307808696,-43.39360709991148,Bakery
440,Colégio,-22.83936032957796,-43.33611132701015,Trópicos Pescados,-22.83600023008245,-43.33795515354005,Seafood Restaurant
443,Colégio,-22.83936032957796,-43.33611132701015,Lanche do Thiago,-22.84283828735352,-43.33329391479492,American Restaurant
448,Olaria,-22.84758667828684,-43.26994047983021,Botequim Rio Antigo,-22.846684426258488,-43.26772902231043,Bar
451,Olaria,-22.84758667828684,-43.26994047983021,Estação Sabor,-22.85078670653344,-43.269783755849794,Bakery
455,Olaria,-22.84758667828684,-43.26994047983021,Bharmacia,-22.84493982389859,-43.26610929788416,Bar
457,Olaria,-22.84758667828684,-43.26994047983021,Espaço Haru Mix,-22.847254985421337,-43.268220813668854,Asian Restaurant
458,Olaria,-22.84758667828684,-43.26994047983021,Bob's,-22.84967956931396,-43.271550250895395,Fast Food Restaurant
461,Olaria,-22.84758667828684,-43.26994047983021,Restaurante Sabor Do Rio,-22.84958911739134,-43.271425387709044,Brazilian Restaurant
462,Olaria,-22.84758667828684,-43.26994047983021,Vuco Vuco Bar,-22.84951554421893,-43.27124403762379,Bar
468,Olaria,-22.84758667828684,-43.26994047983021,Padaria Requinte,-22.851093358445354,-43.270701577733725,Bakery
